RideId,Date,Time,Wait,Name,OpeningDate,Tier,Location,IntellectualProp,Status,Temperature,CloudCover,SimpleStatus,RainAccumulation,ParkId,ParkOpen,ParkClose,EMHOpen,EMHClose,ParkName
339,2018-05-07,13:30,10,"Tomorrowland Transit Authority PeopleMover",1975-07-01,minor_attraction,,None,"clear sky",85.73,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
64,2018-05-07,13:30,30,"Under the Sea ~ Journey of The Little Mermaid",2012-12-06,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",85.73,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
1,2018-05-07,13:45,35,"Astro Orbiter",1995-02-25,minor_attraction,Tomorrowland,None,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
3,2018-05-07,13:45,65,"Big Thunder Mountain Railroad",1980-09-23,headliner,Frontierland,None,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
4,2018-05-07,13:45,50,"Buzz Lightyears Space Ranger Spin",1998-10-07,minor_attraction,Tomorrowland,Pixar,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
7,2018-05-07,13:45,30,"Dumbo the Flying Elephant",1971-10-01,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
8,2018-05-07,13:45,25,"Enchanted Tales with Belle",2012-12-06,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
13,2018-05-07,13:45,75,"Haunted Mansion",1971-10-01,major_attraction,"Liberty Square",None,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
17,2018-05-07,13:45,105,"Jungle Cruise",1971-10-01,major_attraction,Adventureland,None,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
21,2018-05-07,13:45,20,"Mad Tea Party",1971-10-01,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
22,2018-05-07,13:45,40,"Meet Ariel at Her Grotto",2012-12-06,minor_attraction,"Magic Kingdom",AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
25,2018-05-07,13:45,75,"Meet Cinderella and Elena at Princess Fairytale Hall",2016-11-24,minor_attraction,,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
26,2018-05-07,13:45,40,"Meet Cinderella and Rapunzel at Princess Fairytale Hall",2016-11-24,minor_attraction,"Magic Kingdom",AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
27,2018-05-07,13:45,100,"Meet Cinderella and a Visiting Princess at Princess Fairytale Hall",2016-11-24,minor_attraction,,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
28,2018-05-07,13:45,15,"Meet Daring Disney Pals as Circus Stars at Petes Silly Sideshow",2012-10-04,minor_attraction,"Magic Kingdom",Fab5,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
31,2018-05-07,13:45,30,"Meet Magnifique Disney Friends as Circus Stars at Petes Silly Sideshow",2012-10-04,minor_attraction,"Magic Kingdom",Fab5,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
32,2018-05-07,13:45,20,"Meet Mickey Mouse at Town Square Theater",2011-04-01,minor_attraction,"Magic Kingdom",Fab5,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
33,2018-05-07,13:45,35,"Meet Rapunzel and a Visiting Princess at Princess Fairytale Hall",2016-11-24,minor_attraction,,AnimatedClassic,"clear sky",84.2,5,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
